subject_base,subject,sperson,subject_translation,tense_translation,tense_base,tense,object,operson,object_translation,object_base,verb_translation,verb_type,control,verb,verb_base,person,text,text_breakdown,text_label
-,3plint,3,they,past,LE¸,past,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET LE¸,EMET__ _LE¸,verb_object_subject_tense
-,3plint,3,they,past,LE¸,past,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET LE¸,ȻONEṈET__ _LE¸,verb_object_subject_tense
-,3plint,3,they,past,LE¸,past,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ LE¸,ĆȺ__ _LE¸,verb_object_subject_tense
-,3plint,3,they,past,LE¸,past,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL LE¸,ĆÁNEL__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ LE¸,YÁ¸__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET LE¸,ITET__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET LE¸,EMET__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET LE¸,ȻONEṈET__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ LE¸,ĆȺ__ _LE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,past,LE¸,past,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL LE¸,ĆÁNEL__ _LE¸,verb_object_subject_tense
-ES,3pltran,3,they,present,-,prs,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES ,SEJN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES ,QENN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES ,ȻENÁṈN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES ,SEJN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES ,QENN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES ,ȻENÁṈN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES ,SEJN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES ,QENN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES ,ȻENÁṈN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES ,SEJN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES ,QENN__ES ,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,present,-,prs,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES ,ȻENÁṈN__ES ,verb_objectverb_subject
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES ,W̱EĆET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES ,ŚÁMET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES ,QENET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES ,ȽIȾET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES ,KIQET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES ,ȻENÁṈET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES ,W̱EĆET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES ,ŚÁMET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES ,QENET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES ,ȽIȾET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES ,KIQET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES ,ȻENÁṈET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES ,W̱EĆET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES ,ŚÁMET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES ,QENET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES ,ȽIȾET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES ,KIQET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES ,ȻENÁṈET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES ,W̱EĆET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES ,ŚÁMET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES ,QENET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES ,ȽIȾET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES ,KIQET_ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES ,ȻENÁṈET_ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES ,W̱EĆET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES ,ŚÁMET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES ,QENET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES ,ȽIȾET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES ,KIQET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES ,ȻENÁṈET_OL¸W̱ES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES ,W̱EĆE_SES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES ,ŚÁME_SES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES ,QENE_SES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES ,ȽIȾE_SES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES ,KIQE_SES _,verb_object_tense
-ES,3pltran,3,they,present,-,prs,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES ,ȻENÁṈE_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES ,W̱EĆET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES ,ŚÁMET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES ,QENET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES ,ȽIȾET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES ,KIQET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES ,ȻENÁṈET_OL¸W̱ES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES ,W̱EĆE_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES ,ŚÁME_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES ,QENE_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES ,ȽIȾE_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES ,KIQE_SES _,verb_object_tense
-ES,3sgtran,3,s/he/it,present,-,prs,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES ,ȻENÁṈE_SES _,verb_object_tense
-,3plint,3,they,present,-,prs,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ ,YÁ¸__ _,verb_object_subject_tense
-,3plint,3,they,present,-,prs,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET ,ITET__ _,verb_object_subject_tense
-,3plint,3,they,present,-,prs,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET ,EMET__ _,verb_object_subject_tense
-,3plint,3,they,present,-,prs,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET ,ȻONEṈET__ _,verb_object_subject_tense
-,3plint,3,they,present,-,prs,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ ,ĆȺ__ _,verb_object_subject_tense
-,3plint,3,they,present,-,prs,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL ,ĆÁNEL__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ ,YÁ¸__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET ,ITET__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET ,EMET__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET ,ȻONEṈET__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ ,ĆȺ__ _,verb_object_subject_tense
-,3sgint,3,s/he/it,present,-,prs,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL ,ĆÁNEL__ _,verb_object_subject_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOW̱LE¸ SW̱ HÁLE,SEJNOW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNEW̱LE¸ SW̱ HÁLE,QENNEW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNEW̱LE¸ SW̱ HÁLE,ȻENÁṈNEW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOW̱LE¸ SW̱ HÁLE,SEJNOW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNEW̱LE¸ SW̱ HÁLE,QENNEW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNEW̱LE¸ SW̱ HÁLE,ȻENÁṈNEW̱__LE¸ SW̱ HÁLE,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOW̱LE¸ SW̱,SEJNOW̱__LE¸ SW̱,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNEW̱LE¸ SW̱,QENNEW̱__LE¸ SW̱,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNEW̱LE¸ SW̱,ȻENÁṈNEW̱__LE¸ SW̱,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOW̱LE¸ SW̱,SEJNOW̱__LE¸ SW̱,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNEW̱LE¸ SW̱,QENNEW̱__LE¸ SW̱,verb_object_tense
SW̱,2sgtran,2,You,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNEW̱LE¸ SW̱,ȻENÁṈNEW̱__LE¸ SW̱,verb_object_tense
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆET LE¸ SW̱ HÁLE,W̱EĆET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMET LE¸ SW̱ HÁLE,ŚÁMET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENET LE¸ SW̱ HÁLE,QENET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾET LE¸ SW̱ HÁLE,ȽIȾET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQET LE¸ SW̱ HÁLE,KIQET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈET LE¸ SW̱ HÁLE,ȻENÁṈET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆET LE¸ SW̱ HÁLE,W̱EĆET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMET LE¸ SW̱ HÁLE,ŚÁMET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENET LE¸ SW̱ HÁLE,QENET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾET LE¸ SW̱ HÁLE,ȽIȾET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQET LE¸ SW̱ HÁLE,KIQET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈET LE¸ SW̱ HÁLE,ȻENÁṈET_ _LE¸ _SW̱ HÁLE,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆET LE¸ SW̱,W̱EĆET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMET LE¸ SW̱,ŚÁMET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENET LE¸ SW̱,QENET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾET LE¸ SW̱,ȽIȾET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQET LE¸ SW̱,KIQET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈET LE¸ SW̱,ȻENÁṈET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆET LE¸ SW̱,W̱EĆET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMET LE¸ SW̱,ŚÁMET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENET LE¸ SW̱,QENET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾET LE¸ SW̱,ȽIȾET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQET LE¸ SW̱,KIQET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈET LE¸ SW̱,ȻENÁṈET_ _LE¸ _SW̱,verb_object_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOL¸W̱ LE¸ SW̱ HÁLE,SEJN_OL¸W̱ _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNOL¸W̱ LE¸ SW̱ HÁLE,QENN_OL¸W̱ _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNOL¸W̱ LE¸ SW̱ HÁLE,ȻENÁṈN_OL¸W̱ _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1sgNC,1,Me,OṈES,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOṈES LE¸ SW̱ HÁLE,SEJN_OṈES _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1sgNC,1,Me,OṈES,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNOṈES LE¸ SW̱ HÁLE,QENN_OṈES _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱ HÁLE,2pltran,2,you folks,past,LE¸,past,1sgNC,1,Me,OṈES,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNOṈES LE¸ SW̱ HÁLE,ȻENÁṈN_OṈES _LE¸ _SW̱ HÁLE,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOL¸W̱ LE¸ SW̱,SEJN_OL¸W̱ _LE¸ _SW̱,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNOL¸W̱ LE¸ SW̱,QENN_OL¸W̱ _LE¸ _SW̱,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1plNC,1,Us,OL¸W̱,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNOL¸W̱ LE¸ SW̱,ȻENÁṈN_OL¸W̱ _LE¸ _SW̱,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1sgNC,1,Me,OṈES,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNOṈES LE¸ SW̱,SEJN_OṈES _LE¸ _SW̱,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1sgNC,1,Me,OṈES,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNOṈES LE¸ SW̱,QENN_OṈES _LE¸ _SW̱,verb_objectverb_tense_subject
SW̱,2sgtran,2,You,past,LE¸,past,1sgNC,1,Me,OṈES,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNOṈES LE¸ SW̱,ȻENÁṈN_OṈES _LE¸ _SW̱,verb_objectverb_tense_subject
